huc12,tohuc,name,areasqkm,states,sum.ras_crp_18_2012_50m,sum.ras_crp_18_2013_50m,sum.ras_crp_18_2014_50m,sum.ras_crp_18_2015_50m,sum.ras_crp_18_2016_50m,sum.ras_crp_18_2017_50m,sum.ras_crp_18_2018_50m,sum.ras_crp_18_2019_50m,sum.ras_crp_18_2020_50m,sum.ras_crp_18_2021_50m,sum.ras_crp_18_2022_50m
050800030103,050800030108,Nettle Creek,53.89,IN,8643.369140625,9755.369140625,6257.369140625,7913.369140625,8325.369140625,8325.369140625,8225.369140625,6511.94775390625,7835.94775390625,7769.94775390625,7551.94775390625
041000040602,041000040604,Simmerman Ditch-Saint Marys River,55.56,IN,12795.2724609375,12783.2724609375,12563.2724609375,12801.2724609375,11127.2724609375,10059.2724609375,10059.2724609375,10209.2724609375,9475.2724609375,9069.2724609375,8061.27294921875
051201130706,051201130707,Headwaters Little Creek,78.6,IN,4932,3996,3376,3686,3036,2088,1930,1772,1772,1608,1608
041000040501,041000040502,Holthouse Ditch,89.37,IN,9102,8750,8520,9132,7972,7996,8142,7662,7426,9360.580078125,7854.58056640625
051201130302,051201130304,McCarty Ditch-Coffee Bayou,90.62,IN,0,0,0,0,78,78,78,78,78,78,78
051201130701,051201130702,Pond Flat Ditch,84.11,IN,14510,15932,14186,14380,14210,14532,14134,14128,14122,12488,13090
051201130709,051201130805,Indian Creek-Big Creek,123.47,IN,13167.33203125,13071.33203125,13519.33203125,10439.33203125,10203.33203125,9023.33203125,7601.33154296875,6965.33154296875,6109.33154296875,4997.33154296875,4365.33154296875
051202070802,051202070803,Elk Creek,70.01,IN,1264,1264,790,948,632,632,632,632,632,632,632
051201040102,051201040103,Mud Run-Blue River,54.78,IN,12674.767578125,12936.767578125,12468.767578125,12778.7626953125,12911.1650390625,11629.1650390625,6400.609375,6558.609375,6363.0771484375,19062.7109375,7888.7109375
050800030105,050800030108,Symonds Creek,57.96,IN,6545.17236328125,6739.17236328125,6655.17236328125,6083.17236328125,5773.17236328125,5773.17236328125,5767.17236328125,4661.17236328125,4667.17236328125,4983.17236328125,4405.17236328125
041000040503,041000040504,Nickelsen Creek,65.84,IN,7814.90380859375,7856.90380859375,6892.90380859375,6980.90380859375,6816.90380859375,7210.90380859375,7186.90380859375,7108.90380859375,6376,4890,4890
050800030106,050800030108,Symons Creek,81.21,IN,4818,5018,5650,5802,5808,5526,6474,6474,5314,5952,7422
051202080101,051202080103,Rush Creek,64,IN,600,600,418,582,588,3196,3196,3196,3196,4613.05224609375,3038
050800030201,050800030202,Little Mud Creek-Mud Creek,45.66,IN,2735,3379,4199,4041,4041,3561,3337,3337,3331,3048,3048
050800030202,050800030203,Copy Run-Greens Fork,84.56,IN,22178,22316,28188,27362,28856,28012,28522,27544,27562,23096,22014
051201040101,051201040102,Headwaters Blue River,54.35,IN,25224.091796875,25212.091796875,27172.509765625,26264.513671875,25590.994140625,25923.658203125,24916.21484375,24430.21484375,22785.74609375,23745.548828125,23587.548828125
051201040202,051201040203,Johnson Drain-Eel River,63.92,IN,7672.1728515625,7514.1728515625,7402.1728515625,7402.1728515625,6606.1728515625,6618.1728515625,6528.1728515625,6674.1728515625,7408.1728515625,5090,4662
050800020907,050902030204,Doublelick Run-Great Miami River,42.04,"IN,OH",0,0,0,0,0,0,0,0,0,0,0
041000040403,041000040405,Headwaters Blue Creek,63.86,IN,1852,1846,2004,1846,1634,1634,1634,1634,1634,1634,1634
041000040603,041000040604,Fairfield Ditch,59.44,IN,2824,3012,3024,3170,3170,3170,2976,2812,2812,2812,2812
