huc12,tohuc,name,areasqkm,states,sum,area_sqkm
071200010311,071200010312,Elmer Seltenright Ditch,47.63,IN,8087.96435546875,20.219910888671876
071200010402,071200010405,Kingsbury Creek,39.53,IN,8320.5595703125,20.80139892578125
050800030404,050800030405,Village Creek-Whitewater River,81.34,IN,15654.0712890625,39.13517822265625
071200010505,071200010506,Bickel Ditch-Yellow River,55.04,IN,9058.2255859375,22.64556396484375
071200020101,071200020102,Ryan Ditch-Oliver Ditch,69.51,IN,11803.763671875,29.5094091796875
071200020102,071200020103,Davis Ditch-Oliver Ditch,66.03,IN,17594.701171875,43.9867529296875
071200020203,071200020206,Nesius Ditch-Bice Ditch,57.54,IN,19174.853515625,47.9371337890625
050800030706,050800030709,Clear Creek-Lick Creek,41.67,IN,5768.90966796875,14.422274169921875
051201030602,051201030603,Metocinah Creek,38.82,IN,9930.4775390625,24.82619384765625
071200010205,071200010206,Dixon West Place Ditch,53.76,IN,9477.490234375,23.6937255859375
050800030709,050800030710,Smith Creek-East Fork Whitewater River,51.56,IN,8064.666015625,20.1616650390625
050800030710,050800030711,Clay Creek-East Fork Whitewater River,43.88,IN,7647.35595703125,19.118389892578126
041000050101,041000050102,Trier Ditch,73.01,IN,13795.177734375,34.4879443359375
041000050102,041000050103,Bullerman Ditch-Maumee River,87.28,IN,9879.9521484375,24.69988037109375
041000050103,041000050105,Sixmile Creek-Maumee River,62.57,IN,15274.08203125,38.185205078125
041000050104,041000050106,Black Creek,49.71,IN,11683.8330078125,29.20958251953125
041000050105,041000050106,Bottern Ditch-Maumee River,87.95,IN,19552.73046875,48.881826171875
041000050106,041000050202,Marsh Ditch-Maumee River,50.12,IN,16257.3046875,40.64326171875
051201030401,051201030402,Campbell Creek,54.4,IN,16434.0859375,41.08521484375
071200011204,071200011205,Williams Ditch,42.24,"IL,IN",11853.921875,29.6348046875
051201030402,051201030404,Rees Ditch-Mississinewa River,104.33,IN,27636.697265625,69.0917431640625
051201030403,051201030404,Studebaker Ditch-Pike Creek,55.98,IN,18126.380859375,45.3159521484375
050800030101,050800030102,Morgan Creek,38.71,IN,11164.4501953125,27.91112548828125
051201030504,051201030510,Back Creek,48.92,IN,13896.822265625,34.7420556640625
051201030502,051201030510,Lake Branch-Mississinewa River,50.5,IN,12152.3603515625,30.38090087890625
